"Date","Hour","Load Forecast (MWh)"
"01/04/2018","00:00","30,500.00"
"01/04/2018","01:00","28,900.00"
"01/04/2018","02:00","27,300.00"
"01/04/2018","03:00","26,600.00"
"01/04/2018","04:00","26,000.00"
"01/04/2018","05:00","26,100.00"
"01/04/2018","06:00","25,600.00"
"01/04/2018","07:00","24,600.00"
"01/04/2018","08:00","25,500.00"
"01/04/2018","09:00","26,700.00"
"01/04/2018","10:00","27,600.00"
"01/04/2018","11:00","28,600.00"
"01/04/2018","12:00","28,400.00"
"01/04/2018","13:00","28,600.00"
"01/04/2018","14:00","28,700.00"
"01/04/2018","15:00","28,800.00"
"01/04/2018","16:00","29,200.00"
"01/04/2018","17:00","29,400.00"
"01/04/2018","18:00","30,700.00"
"01/04/2018","19:00","33,500.00"
"01/04/2018","20:00","33,700.00"
"01/04/2018","21:00","32,900.00"
"01/04/2018","22:00","32,400.00"
"01/04/2018","23:00","31,600.00"
"02/04/2018","00:00","29,400.00"
"02/04/2018","01:00","27,900.00"
"02/04/2018","02:00","27,000.00"
"02/04/2018","03:00","26,400.00"
"02/04/2018","04:00","26,300.00"
"02/04/2018","05:00","26,600.00"
"02/04/2018","06:00","27,800.00"
"02/04/2018","07:00","28,900.00"
"02/04/2018","08:00","34,000.00"
"02/04/2018","09:00","36,200.00"
"02/04/2018","10:00","36,400.00"
"02/04/2018","11:00","36,400.00"
"02/04/2018","12:00","35,000.00"
"02/04/2018","13:00","35,200.00"
"02/04/2018","14:00","35,600.00"
"02/04/2018","15:00","35,400.00"
"02/04/2018","16:00","35,700.00"
"02/04/2018","17:00","35,400.00"
"02/04/2018","18:00","35,400.00"
"02/04/2018","19:00","36,600.00"
"02/04/2018","20:00","36,900.00"
"02/04/2018","21:00","36,200.00"
"02/04/2018","22:00","35,400.00"
"02/04/2018","23:00","34,100.00"
"03/04/2018","00:00","31,900.00"
"03/04/2018","01:00","30,200.00"
"03/04/2018","02:00","29,300.00"
"03/04/2018","03:00","28,700.00"
"03/04/2018","04:00","28,400.00"
"03/04/2018","05:00","28,900.00"
"03/04/2018","06:00","29,300.00"
"03/04/2018","07:00","30,800.00"
"03/04/2018","08:00","35,600.00"
"03/04/2018","09:00","37,800.00"
"03/04/2018","10:00","38,500.00"
"03/04/2018","11:00","38,900.00"
"03/04/2018","12:00","37,200.00"
"03/04/2018","13:00","37,700.00"
"03/04/2018","14:00","38,200.00"
"03/04/2018","15:00","37,900.00"
"03/04/2018","16:00","37,900.00"
"03/04/2018","17:00","37,600.00"
"03/04/2018","18:00","37,000.00"
"03/04/2018","19:00","38,400.00"
"03/04/2018","20:00","38,400.00"
"03/04/2018","21:00","37,200.00"
"03/04/2018","22:00","36,700.00"
"03/04/2018","23:00","34,600.00"
"04/04/2018","00:00","31,600.00"
"04/04/2018","01:00","29,900.00"
"04/04/2018","02:00","29,000.00"
"04/04/2018","03:00","28,400.00"
"04/04/2018","04:00","28,200.00"
"04/04/2018","05:00","28,600.00"
"04/04/2018","06:00","29,100.00"
"04/04/2018","07:00","30,500.00"
"04/04/2018","08:00","35,300.00"
"04/04/2018","09:00","37,600.00"
"04/04/2018","10:00","38,300.00"
"04/04/2018","11:00","38,700.00"
"04/04/2018","12:00","37,000.00"
"04/04/2018","13:00","37,500.00"
"04/04/2018","14:00","38,000.00"
"04/04/2018","15:00","37,700.00"
"04/04/2018","16:00","37,700.00"
"04/04/2018","17:00","37,400.00"
"04/04/2018","18:00","36,800.00"
"04/04/2018","19:00","38,000.00"
"04/04/2018","20:00","38,000.00"
"04/04/2018","21:00","36,900.00"
"04/04/2018","22:00","36,300.00"
"04/04/2018","23:00","34,300.00"
"05/04/2018","00:00","31,700.00"
"05/04/2018","01:00","30,200.00"
"05/04/2018","02:00","29,100.00"
"05/04/2018","03:00","28,400.00"
"05/04/2018","04:00","28,400.00"
"05/04/2018","05:00","28,800.00"
"05/04/2018","06:00","28,800.00"
"05/04/2018","07:00","30,400.00"
"05/04/2018","08:00","33,700.00"
"05/04/2018","09:00","35,200.00"
"05/04/2018","10:00","34,900.00"
"05/04/2018","11:00","35,000.00"
"05/04/2018","12:00","33,500.00"
"05/04/2018","13:00","33,700.00"
"05/04/2018","14:00","34,200.00"
"05/04/2018","15:00","33,900.00"
"05/04/2018","16:00","34,400.00"
"05/04/2018","17:00","34,700.00"
"05/04/2018","18:00","35,200.00"
"05/04/2018","19:00","37,000.00"
"05/04/2018","20:00","37,500.00"
"05/04/2018","21:00","36,600.00"
"05/04/2018","22:00","35,500.00"
"05/04/2018","23:00","33,500.00"
"06/04/2018","00:00","31,800.00"
"06/04/2018","01:00","30,100.00"
"06/04/2018","02:00","29,200.00"
"06/04/2018","03:00","28,700.00"
"06/04/2018","04:00","28,500.00"
"06/04/2018","05:00","28,700.00"
"06/04/2018","06:00","29,400.00"
"06/04/2018","07:00","30,000.00"
"06/04/2018","08:00","33,700.00"
"06/04/2018","09:00","35,000.00"
"06/04/2018","10:00","34,500.00"
"06/04/2018","11:00","34,400.00"
"06/04/2018","12:00","32,300.00"
"06/04/2018","13:00","32,800.00"
"06/04/2018","14:00","33,600.00"
"06/04/2018","15:00","33,400.00"
"06/04/2018","16:00","34,000.00"
"06/04/2018","17:00","34,200.00"
"06/04/2018","18:00","34,400.00"
"06/04/2018","19:00","36,100.00"
"06/04/2018","20:00","36,800.00"
"06/04/2018","21:00","36,000.00"
"06/04/2018","22:00","35,300.00"
"06/04/2018","23:00","33,800.00"
"07/04/2018","00:00","32,600.00"
"07/04/2018","01:00","30,800.00"
