"Date","Hour","MCP (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"25/03/2018","00:00","214.21","54.08","43.85"
"25/03/2018","01:00","170.00","42.92","34.80"
"25/03/2018","02:00","148.60","37.52","30.42"
"25/03/2018","03:00","134.29","33.90","27.49"
"25/03/2018","04:00","118.69","29.97","24.30"
"25/03/2018","05:00","160.00","40.40","32.75"
"25/03/2018","06:00","169.79","42.87","34.76"
"25/03/2018","07:00","124.49","31.43","25.48"
"25/03/2018","08:00","169.80","42.87","34.76"
"25/03/2018","09:00","174.75","44.12","35.77"
"25/03/2018","10:00","171.00","43.17","35.00"
"25/03/2018","11:00","169.79","42.87","34.76"
"25/03/2018","12:00","147.59","37.26","30.21"
"25/03/2018","13:00","169.79","42.87","34.76"
"25/03/2018","14:00","161.64","40.81","33.09"
"25/03/2018","15:00","125.01","31.56","25.59"
"25/03/2018","16:00","153.51","38.76","31.42"
"25/03/2018","17:00","204.99","51.75","41.96"
"25/03/2018","18:00","181.64","45.86","37.18"
"25/03/2018","19:00","215.04","54.29","44.02"
"25/03/2018","20:00","215.06","54.30","44.02"
"25/03/2018","21:00","190.00","47.97","38.89"
"25/03/2018","22:00","148.60","37.52","30.42"
"25/03/2018","23:00","148.59","37.52","30.42"
"26/03/2018","00:00","179.80","45.39","36.80"
"26/03/2018","01:00","179.22","45.25","36.69"
"26/03/2018","02:00","169.21","42.72","34.64"
"26/03/2018","03:00","148.39","37.46","30.37"
"26/03/2018","04:00","124.49","31.43","25.48"
"26/03/2018","05:00","116.63","29.45","23.87"
"26/03/2018","06:00","148.22","37.42","30.34"
"26/03/2018","07:00","148.39","37.46","30.37"
"26/03/2018","08:00","215.16","54.32","44.04"
"26/03/2018","09:00","215.92","54.51","44.20"
"26/03/2018","10:00","214.18","54.07","43.84"
"26/03/2018","11:00","181.00","45.70","37.05"
"26/03/2018","12:00","122.30","30.88","25.03"
"26/03/2018","13:00","124.49","31.43","25.48"
"26/03/2018","14:00","140.00","35.35","28.66"
"26/03/2018","15:00","170.01","42.92","34.80"
"26/03/2018","16:00","177.49","44.81","36.33"
"26/03/2018","17:00","179.80","45.39","36.80"
"26/03/2018","18:00","177.50","44.81","36.33"
"26/03/2018","19:00","179.79","45.39","36.80"
"26/03/2018","20:00","179.80","45.39","36.80"
"26/03/2018","21:00","183.99","46.45","37.66"
"26/03/2018","22:00","163.64","41.31","33.50"
"26/03/2018","23:00","157.99","39.89","32.34"
"27/03/2018","00:00","169.21","42.58","34.36"
"27/03/2018","01:00","169.21","42.58","34.36"
"27/03/2018","02:00","148.40","37.34","30.13"
"27/03/2018","03:00","125.01","31.46","25.38"
"27/03/2018","04:00","124.50","31.33","25.28"
"27/03/2018","05:00","124.50","31.33","25.28"
"27/03/2018","06:00","169.21","42.58","34.36"
"27/03/2018","07:00","149.26","37.56","30.31"
"27/03/2018","08:00","179.79","45.24","36.50"
"27/03/2018","09:00","204.90","51.56","41.60"
"27/03/2018","10:00","179.79","45.24","36.50"
"27/03/2018","11:00","179.80","45.24","36.51"
"27/03/2018","12:00","125.00","31.45","25.38"
"27/03/2018","13:00","159.00","40.01","32.28"
"27/03/2018","14:00","183.83","46.26","37.33"
"27/03/2018","15:00","167.99","42.27","34.11"
"27/03/2018","16:00","179.79","45.24","36.50"
"27/03/2018","17:00","179.80","45.24","36.51"
"27/03/2018","18:00","174.99","44.03","35.53"
"27/03/2018","19:00","190.00","47.81","38.58"
"27/03/2018","20:00","212.95","53.58","43.24"
"27/03/2018","21:00","204.92","51.56","41.61"
"27/03/2018","22:00","199.99","50.32","40.61"
